date,country_name,cumulative_persons_vaccinated
2021-01-10,United Kingdom,2286572
2021-01-10,United Kingdom,78005
2021-01-10,United Kingdom,163377
2021-01-10,United Kingdom,1959151
2021-01-10,United Kingdom,86039
2021-01-11,United Kingdom,2080280
2021-01-11,United Kingdom,2431648
2021-01-11,United Kingdom,91239
2021-01-11,United Kingdom,175942
2021-01-11,United Kingdom,84187
2021-01-12,United Kingdom,101371
2021-01-12,United Kingdom,2254556
2021-01-12,United Kingdom,2639309
2021-01-12,United Kingdom,191965
2021-01-12,United Kingdom,91417
2021-01-13,United Kingdom,2494371
2021-01-13,United Kingdom,112973
2021-01-13,United Kingdom,208207
2021-01-13,United Kingdom,2918252
2021-01-13,United Kingdom,102701
2021-01-14,United Kingdom,2769164
2021-01-14,United Kingdom,3234946
2021-01-14,United Kingdom,114567
2021-01-14,United Kingdom,126375
2021-01-14,United Kingdom,224840
2021-01-15,United Kingdom,3090058
2021-01-15,United Kingdom,3576263
2021-01-15,United Kingdom,117906
2021-01-15,United Kingdom,241924
2021-01-15,United Kingdom,126375
2021-01-16,United Kingdom,260140
2021-01-16,United Kingdom,3872394
2021-01-16,United Kingdom,120387
2021-01-16,United Kingdom,126375
2021-01-16,United Kingdom,3365492
2021-01-17,United Kingdom,4062501
2021-01-17,United Kingdom,367209
2021-01-17,United Kingdom,125717
2021-01-17,United Kingdom,370989
2021-01-17,United Kingdom,578287
2021-01-17,United Kingdom,3520056
2021-01-17,United Kingdom,480227
2021-01-17,United Kingdom,264991
2021-01-17,United Kingdom,409060
2021-01-17,United Kingdom,151737
2021-01-18,United Kingdom,132857
2021-01-18,United Kingdom,4266577
2021-01-18,United Kingdom,393916
2021-01-18,United Kingdom,425672
2021-01-18,United Kingdom,3687206
2021-01-18,United Kingdom,161932
2021-01-18,United Kingdom,504941
2021-01-18,United Kingdom,284582
2021-01-18,United Kingdom,602440
2021-01-18,United Kingdom,388437
2021-01-19,United Kingdom,553830
2021-01-19,United Kingdom,309909
2021-01-19,United Kingdom,423733
2021-01-19,United Kingdom,175816
2021-01-19,United Kingdom,4609740
2021-01-19,United Kingdom,647182
2021-01-19,United Kingdom,3985579
2021-01-19,United Kingdom,457849
2021-01-19,United Kingdom,138436
2021-01-19,United Kingdom,441299
2021-01-20,United Kingdom,465074
2021-01-20,United Kingdom,692239
2021-01-20,United Kingdom,190435
2021-01-20,United Kingdom,144212
2021-01-20,United Kingdom,4303730
2021-01-20,United Kingdom,494557
2021-01-20,United Kingdom,334871
2021-01-20,United Kingdom,595673
2021-01-20,United Kingdom,4973248
2021-01-20,United Kingdom,492386
2021-01-21,United Kingdom,212317
2021-01-21,United Kingdom,151039
2021-01-21,United Kingdom,5383103
2021-01-21,United Kingdom,549497
2021-01-21,United Kingdom,4661293
2021-01-21,United Kingdom,651591
2021-01-21,United Kingdom,749116
2021-01-21,United Kingdom,358454
2021-01-21,United Kingdom,504082
2021-01-21,United Kingdom,522308
2021-01-22,United Kingdom,240547
2021-01-22,United Kingdom,571449
2021-01-22,United Kingdom,5861351
2021-01-22,United Kingdom,545815
2021-01-22,United Kingdom,611622
2021-01-22,United Kingdom,380667
2021-01-22,United Kingdom,5085771
2021-01-22,United Kingdom,812084
2021-01-22,United Kingdom,154366
2021-01-22,United Kingdom,711594
2021-01-23,United Kingdom,6353321
2021-01-23,United Kingdom,404038
2021-01-23,United Kingdom,586559
2021-01-23,United Kingdom,264538
2021-01-23,United Kingdom,765617
2021-01-23,United Kingdom,680812
2021-01-23,United Kingdom,881901
2021-01-23,United Kingdom,5529101
2021-01-23,United Kingdom,632406
2021-01-23,United Kingdom,155644
2021-01-24,United Kingdom,910450
2021-01-24,United Kingdom,712511
2021-01-24,United Kingdom,612045
2021-01-24,United Kingdom,654546
2021-01-24,United Kingdom,415402
2021-01-24,United Kingdom,5727693
2021-01-24,United Kingdom,796059
2021-01-24,United Kingdom,6573570
2021-01-24,United Kingdom,159642
2021-01-24,United Kingdom,270833
2021-01-25,United Kingdom,6853327
2021-01-25,United Kingdom,679484
2021-01-25,United Kingdom,647171
2021-01-25,United Kingdom,163317
2021-01-25,United Kingdom,944635
2021-01-25,United Kingdom,289566
2021-01-25,United Kingdom,828920
2021-01-25,United Kingdom,5962544
2021-01-25,United Kingdom,437900
