date,uk_vaccinated,canada_vaccinated
2020-12-14,,5.0
2020-12-15,,726.0
2020-12-16,,3027.0
2020-12-17,,7282.0
2020-12-18,,11297.0
2020-12-19,,12362.0
2020-12-20,,13236.0
2020-12-21,,21085.0
2020-12-22,,26876.0
2020-12-23,,35569.0
2020-12-24,,45772.0
2020-12-25,,48825.0
2020-12-26,,46171.0
2020-12-27,,52452.0
2020-12-28,,59078.0
2020-12-29,,72090.0
2020-12-30,,80639.0
2020-12-31,,96168.0
2021-01-01,,105458.0
2021-01-02,,82516.0
2021-01-03,,115336.0
2021-01-04,,138963.0
2021-01-05,,156839.0
2021-01-06,,184509.0
2021-01-07,,220700.0
2021-01-08,,261319.0
2021-01-09,,217367.0
2021-01-10,2286572.0,319819.0
2021-01-11,2431648.0,358193.0
2021-01-12,2639309.0,387870.0
2021-01-13,2918252.0,410409.0
2021-01-14,3234946.0,450017.0
2021-01-15,3576263.0,496457.0
2021-01-16,3872394.0,564968.0
2021-01-17,4062501.0,560529.0
2021-01-18,4266577.0,601092.0
2021-01-19,4609740.0,638248.0
2021-01-20,4973248.0,668458.0
2021-01-21,5383103.0,705753.0
2021-01-22,5861351.0,737495.0
2021-01-23,6353321.0,775534.0
2021-01-24,6573570.0,772619.0
2021-01-25,6853327.0,787850.0
2021-01-26,7164387.0,809303.0
2021-01-27,7476765.0,822886.0
2021-01-28,7891184.0,837986.0
2021-01-29,8378940.0,850343.0
2021-01-30,8977329.0,859277.0
2021-01-31,9296367.0,859625.0
2021-02-01,9646715.0,873360.0
2021-02-02,10021471.0,880067.0
2021-02-03,10490487.0,884394.0
2021-02-04,10971047.0,891446.0
2021-02-05,11465210.0,901757.0
2021-02-06,12015018.0,901476.0
2021-02-07,12294006.0,915702.0
2021-02-08,12646486.0,926179.0
2021-02-09,13058298.0,935643.0
2021-02-10,13509108.0,945358.0
2021-02-11,14012224.0,958044.0
2021-02-12,14556827.0,972124.0
2021-02-13,15062189.0,973105.0
2021-02-14,15300151.0,987215.0
2021-02-15,15576107.0,988945.0
2021-02-16,15940972.0,997521.0
2021-02-17,16423082.0,1002496.0
2021-02-18,16875536.0,1010313.0
2021-02-19,17247442.0,1036133.0
2021-02-20,17582121.0,1086619.0
2021-02-21,17723840.0,1099018.0
2021-02-22,17916181.0,1129049.0
2021-02-23,18242873.0,1159857.0
2021-02-24,18691835.0,1191700.0
2021-02-25,19177555.0,1233502.0
2021-02-26,19682048.0,1289093.0
2021-02-27,20089551.0,1381562.0
2021-02-28,20275451.0,1383659.0
2021-03-01,20478619.0,1430036.0
2021-03-02,20703615.0,1494965.0
2021-03-03,20982571.0,1563164.0
2021-03-04,21358815.0,1637701.0
2021-03-05,21796278.0,1720843.0
2021-03-06,22213112.0,1854952.0
2021-03-07,22377255.0,1847941.0
2021-03-08,22592528.0,1924607.0
2021-03-09,22809829.0,1991453.0
2021-03-10,23053716.0,2065607.0
2021-03-11,23314525.0,2159483.0
2021-03-12,23684103.0,2268494.0
2021-03-13,24196211.0,2500199.0
2021-03-14,24453221.0,2463087.0
2021-03-15,24839906.0,2582555.0
2021-03-16,25273226.0,2700064.0
2021-03-17,25735472.0,2836087.0
2021-03-18,26263732.0,2988123.0
2021-03-19,26878662.0,3147124.0
2021-03-20,27630970.0,3402946.0
2021-03-21,27997976.0,3363438.0
2021-03-22,28327873.0,3506426.0
2021-03-23,28653523.0,3628731.0
2021-03-24,28991188.0,3796639.0
2021-03-25,29316130.0,3981395.0
2021-03-26,29727435.0,4191959.0
2021-03-27,30151736.0,4533233.0
2021-03-28,30445284.0,4500345.0
2021-03-29,30682093.0,4683202.0
2021-03-30,30908010.0,4850007.0
2021-03-31,31147444.0,5066452.0
2021-04-01,31318262.0,5265563.0
2021-04-02,31425682.0,5430869.0
2021-04-03,31533568.0,5788599.0
2021-04-04,31581623.0,5742389.0
2021-04-05,31622367.0,5911840.0
2021-04-06,31707594.0,6102868.0
2021-04-07,31807124.0,6320852.0
2021-04-08,31903366.0,6562592.0
2021-04-09,32010244.0,6847855.0
2021-04-10,32121353.0,7339774.0
2021-04-11,32190576.0,7253552.0
2021-04-12,32250481.0,7571743.0
2021-04-13,32326604.0,7829880.0
2021-04-14,32444439.0,8115424.0
2021-04-15,32574221.0,8408387.0
2021-04-16,32709778.0,8723638.0
2021-04-17,32849223.0,9195612.0
2021-04-18,32932448.0,9150490.0
2021-04-19,33032120.0,9393143.0
2021-04-20,33139742.0,9620789.0
2021-04-21,33257651.0,9926414.0
2021-04-22,33388637.0,10274785.0
2021-04-23,33524423.0,10620564.0
2021-04-24,33673190.0,11133170.0
2021-04-25,33752885.0,11117279.0
2021-04-26,33843580.0,11371899.0
2021-04-27,33959908.0,11613679.0
2021-04-28,34094048.0,11863197.0
2021-04-29,34216616.0,12148992.0
2021-04-30,34362205.0,12413669.0
2021-05-01,34505380.0,12780182.0
2021-05-02,34595304.0,12791366.0
2021-05-03,34667904.0,13009931.0
2021-05-04,34795074.0,13225162.0
2021-05-05,34934171.0,13493734.0
2021-05-06,35069641.0,13830886.0
2021-05-07,35202642.0,14205400.0
2021-05-08,35371669.0,14772937.0
2021-05-09,35472295.0,14779555.0
2021-05-10,35587348.0,15098218.0
2021-05-11,35722461.0,15382557.0
2021-05-12,35906671.0,15709283.0
2021-05-13,36115955.0,16077829.0
2021-05-14,36336023.0,16477755.0
2021-05-15,36573354.0,17141209.0
2021-05-16,36704672.0,17123404.0
2021-05-17,36811405.0,17501156.0
2021-05-18,36985505.0,17760088.0
2021-05-19,37250363.0,18083562.0
2021-05-20,37518614.0,18440492.0
2021-05-21,37738271.0,18872008.0
2021-05-22,37943681.0,19233995.0
2021-05-23,38070038.0,19500908.0
2021-05-24,38192417.0,19838774.0
2021-05-25,38378564.0,20071572.0
2021-05-26,38614683.0,20342013.0
2021-05-27,38871200.0,20673036.0
2021-05-28,39075642.0,21060894.0
2021-05-29,39259168.0,21582620.0
2021-05-30,39384055.0,21592623.0
2021-05-31,39477158.0,21917627.0
2021-06-01,39585665.0,22149654.0
2021-06-02,39758428.0,22395594.0
2021-06-03,39949694.0,22670722.0
2021-06-04,40129618.0,22961892.0
2021-06-05,40333231.0,23312539.0
2021-06-06,40460576.0,23394313.0
2021-06-07,40573517.0,23648903.0
2021-06-08,40710319.0,23812080.0
2021-06-09,40886878.0,23977606.0
2021-06-10,41088485.0,24155384.0
2021-06-11,41297016.0,24329488.0
2021-06-12,41551201.0,24407817.0
2021-06-13,41698429.0,24574571.0
2021-06-14,41831056.0,24705348.0
2021-06-15,42021089.0,24823238.0
2021-06-16,42216654.0,24921327.0
2021-06-17,42460632.0,25025706.0
2021-06-18,42683772.0,25123823.0
2021-06-19,42964013.0,25037551.0
2021-06-20,43127763.0,25251921.0
2021-06-21,43148843.0,25332241.0
2021-06-22,43448680.0,25395597.0
2021-06-23,43656327.0,25454951.0
2021-06-24,43877861.0,25523807.0
2021-06-25,44080358.0,25580626.0
2021-06-26,44314799.0,25455375.0
2021-06-27,44454511.0,25666907.0
2021-06-28,44581771.0,25750187.0
2021-06-29,44719762.0,25807690.0
2021-06-30,44860978.0,25864127.0
2021-07-01,45013503.0,25905261.0
2021-07-02,45137108.0,25961638.0
2021-07-03,45274497.0,25811633.0
2021-07-04,45351719.0,26022699.0
2021-07-05,45428681.0,26078871.0
2021-07-06,45514492.0,26121110.0
2021-07-07,45601445.0,26164313.0
2021-07-08,45697875.0,26224382.0
2021-07-09,45787958.0,26275379.0
2021-07-10,45881721.0,26130308.0
2021-07-11,45923721.0,26337072.0
2021-07-12,45978017.0,26390857.0
2021-07-13,46037090.0,26429380.0
2021-07-14,46097464.0,26473371.0
2021-07-15,46159145.0,26519006.0
2021-07-16,46228636.0,26565104.0
2021-07-17,46295853.0,26430136.0
2021-07-18,46314039.0,26621964.0
2021-07-19,46349709.0,26665017.0
2021-07-20,46388744.0,26701409.0
2021-07-21,46433845.0,26741309.0
2021-07-22,46477881.0,26783674.0
2021-07-23,46520855.0,26824692.0
2021-07-24,46564660.0,26690515.0
2021-07-25,46589211.0,26878864.0
2021-07-26,46619230.0,26920580.0
2021-07-27,46654632.0,26957277.0
2021-07-28,46698479.0,26996532.0
2021-07-29,46740832.0,27036151.0
2021-07-30,46777556.0,27074917.0
2021-07-31,46816382.0,26928633.0
2021-08-01,46837614.0,27121797.0
2021-08-02,46863706.0,27134276.0
2021-08-03,46892996.0,27173383.0
2021-08-04,46926330.0,27202311.0
2021-08-05,46961830.0,27236780.0
2021-08-06,46998806.0,27269140.0
2021-08-07,47036796.0,27117519.0
2021-08-08,47059639.0,27309092.0
2021-08-09,47091889.0,27342041.0
2021-08-10,47129400.0,27368534.0
2021-08-11,47170968.0,27396297.0
2021-08-12,47215352.0,27428713.0
2021-08-13,47255842.0,27462274.0
2021-08-14,47302445.0,27314191.0
2021-08-15,47333702.0,27504592.0
2021-08-16,47369418.0,27537586.0
2021-08-17,47413242.0,27566421.0
2021-08-18,47460526.0,27596573.0
2021-08-19,47516505.0,27633698.0
2021-08-20,47577390.0,27670465.0
2021-08-21,47650396.0,27524442.0
2021-08-22,47690741.0,27714705.0
2021-08-23,47737142.0,27744683.0
2021-08-24,47792552.0,27776339.0
2021-08-25,47860628.0,27811447.0
2021-08-26,47915768.0,27851712.0
2021-08-27,47960705.0,27891472.0
2021-08-28,48003976.0,27764339.0
2021-08-29,48028366.0,27936148.0
2021-08-30,48048009.0,27979312.0
2021-08-31,48087908.0,28008670.0
2021-09-01,48131996.0,28043415.0
2021-09-02,48171998.0,28081896.0
2021-09-03,48207264.0,28128369.0
2021-09-04,48248318.0,28014882.0
2021-09-05,48270113.0,28185371.0
2021-09-06,48292811.0,28200000.0
2021-09-07,48319435.0,28242017.0
2021-09-08,48344566.0,28277972.0
2021-09-09,48370340.0,28320118.0
2021-09-10,48396404.0,28362095.0
2021-09-11,48424317.0,28264611.0
2021-09-12,48439272.0,28410261.0
2021-09-13,48458700.0,28453637.0
2021-09-14,48476345.0,28486247.0
2021-09-15,48500747.0,28522883.0
2021-09-16,48523798.0,28563271.0
2021-09-17,48544576.0,28618603.0
2021-09-18,48570774.0,28573609.0
2021-09-19,48584614.0,28664578.0
2021-09-20,48604764.0,28731719.0
2021-09-21,48625148.0,28775759.0
2021-09-22,48647827.0,28820960.0
2021-09-23,48672910.0,28870273.0
2021-09-24,48700527.0,28920816.0
2021-09-25,48724823.0,28845579.0
2021-09-26,48740807.0,28972005.0
2021-09-27,48765726.0,29022229.0
2021-09-28,48797579.0,29054239.0
2021-09-29,48829118.0,29096348.0
2021-09-30,48863490.0,29133625.0
2021-10-01,48901670.0,29163885.0
2021-10-02,48932736.0,29065688.0
2021-10-03,48956859.0,29201636.0
2021-10-04,48994530.0,29240321.0
2021-10-05,49035877.0,29271346.0
2021-10-06,49068705.0,29303757.0
2021-10-07,49101734.0,29335088.0
2021-10-08,49133419.0,29368687.0
2021-10-09,49164814.0,29274198.0
2021-10-10,49186920.0,29409325.0
2021-10-11,49216092.0,29419888.0
2021-10-12,49252939.0,29463320.0
2021-10-13,49291665.0,29478681.0
2021-10-14,49335154.0,29510276.0
2021-10-15,49375917.0,29543810.0
2021-10-16,49404916.0,29434183.0
2021-10-17,49422753.0,29576369.0
2021-10-18,49462425.0,29602771.0
2021-10-19,49505327.0,29621983.0
2021-10-20,49554407.0,29644513.0
2021-10-21,49603139.0,29671014.0
2021-10-22,49649389.0,29696355.0
2021-10-23,49689481.0,29586882.0
2021-10-24,49715228.0,29723597.0
2021-10-25,49753037.0,29744453.0
2021-10-26,49794120.0,29763399.0
2021-10-27,49838202.0,29781374.0
2021-10-28,49882904.0,29804413.0
2021-10-29,49923871.0,29829246.0
2021-10-30,49959923.0,29697744.0
2021-10-31,49987325.0,29851094.0
2021-11-01,50025020.0,29863809.0
2021-11-02,50071683.0,29871265.0
2021-11-03,50112925.0,29888388.0
2021-11-04,50156656.0,29907282.0
2021-11-05,50200147.0,29922746.0
2021-11-06,50236895.0,29790277.0
2021-11-07,50262735.0,29938547.0
2021-11-08,50296294.0,29956922.0
2021-11-09,50336130.0,29965808.0
2021-11-10,50455318.0,29989662.0
2021-11-11,50491701.0,30000099.0
2021-11-12,50526039.0,30018029.0
2021-11-13,50559566.0,29876705.0
2021-11-14,50582504.0,30035316.0
2021-11-15,50614550.0,30051086.0
2021-11-16,50645981.0,30062435.0
2021-11-17,50679073.0,30080964.0
2021-11-18,50707953.0,30098115.0
2021-11-19,50735037.0,30110872.0
2021-11-20,50761050.0,29970661.0
2021-11-21,50777474.0,30127171.0
2021-11-22,50800732.0,30142171.0
2021-11-23,50827554.0,30150377.0
2021-11-24,50852133.0,30150704.0
2021-11-25,50875712.0,30167839.0
2021-11-26,50896026.0,30200920.0
2021-11-27,50919834.0,30222761.0
2021-11-28,50941327.0,30310605.0
2021-11-29,50963718.0,30379510.0
2021-11-30,50994257.0,30448716.0
2021-12-01,51020285.0,30502030.0
2021-12-02,51046133.0,30571013.0
2021-12-03,51069397.0,30641152.0
2021-12-04,51096311.0,30608453.0
2021-12-05,51118266.0,30761545.0
2021-12-06,51138245.0,30848451.0
2021-12-07,51161757.0,30905870.0
2021-12-08,51183457.0,30964457.0
2021-12-09,51207496.0,31022656.0
2021-12-10,51229559.0,31066250.0
2021-12-11,51255850.0,30996240.0
2021-12-12,51279167.0,31153192.0
2021-12-13,51298838.0,31225262.0
2021-12-14,51332920.0,31261111.0
2021-12-15,51360987.0,31308314.0
2021-12-16,51393664.0,31354553.0
2021-12-17,51426554.0,31395123.0
2021-12-18,51464883.0,31285007.0
2021-12-19,51498034.0,31457277.0
2021-12-20,51537827.0,31510712.0
